area_type,availability,location,size,society,bath,balcony,price,total_squaremeter
Built-up Area,16-Jan,Fatih,3+1,Panorama Evleri,3,1,6706152,68.74822
Super built-up Area,03-Jun,Bahçelievler,3+1,Yakamoz Sitesi,2,1,4544456,78.96755
Built-up Area,28-Jan,Fatih,2+1,Denizpark Konakları,3,0,20743549,195.0963
Plot Area,26-Oct,Fatih,1+1,Denizpark Konakları,2,0,11763487,114.27069
Super built-up Area,07-Oct,Bahçelievler,5+1,Bosphorus View,2,0,7265067,105.90942
Plot Area,05-May,Bahçelievler,4+1,Kule Evleri,4,1,6927294,138.42547
Built-up Area,12-Sep,Şişli,4+1,Park Bahçesi,1,0,15748862,231.32847
Plot Area,05-Jan,Maltepe,4+1,Park Bahçesi,1,0,8004767,122.63196
Built-up Area,09-Oct,Kadıköy,2+1,Mavi Apartman,2,1,18835593,220.18011
Super built-up Area,27-Mar,Şişli,1+1,Yakamoz Sitesi,2,2,7634010,104.05136
Plot Area,22-Jul,Bahçelievler,2+1,Park Bahçesi,3,0,9158282,174.65764000000001
Built-up Area,27-Jun,Şişli,4+1,Kule Evleri,3,0,16042106,209.96078
Plot Area,10-Jan,Fatih,3+1,Denizpark Konakları,4,1,6810482,69.67725
Super built-up Area,16-Jul,Beşiktaş,5+1,Kule Evleri,3,0,17645421,220.18011
Super built-up Area,23-Feb,Bahçelievler,1+1,Yakamoz Sitesi,2,0,8743979,131.92226
Super built-up Area,23-May,Bahçelievler,2+1,Yakamoz Sitesi,3,1,10639338,156.07704
Built-up Area,18-Jun,Ataşehir,4+1,Bosphorus View,1,2,10421844,152.36092
Built-up Area,16-Jun,Beşiktaş,5+1,Park Bahçesi,1,2,13045343,194.16727
Built-up Area,24-Sep,Bahçelievler,4+1,Kule Evleri,2,1,7879736,122.63196
Plot Area,16-Jan,Kadıköy,3+1,Yakamoz Sitesi,4,2,6068851,117.05778000000001
Built-up Area,02-Oct,Şişli,1+1,Denizpark Konakları,1,0,7772641,90.11591
Built-up Area,23-Nov,Maltepe,3+1,Panorama Evleri,1,0,4171392,55.7418
Super built-up Area,08-Aug,Ataşehir,2+1,Kule Evleri,3,2,6807955,78.96755
Plot Area,18-Aug,Maltepe,3+1,Panorama Evleri,3,2,4937033,67.81919
Super built-up Area,13-Feb,Beşiktaş,1+1,Kule Evleri,1,1,10178790,115.19972
Built-up Area,06-May,Fatih,4+1,Mavi Apartman,4,2,17929725,222.9672
Built-up Area,17-May,Beşiktaş,3+1,Kule Evleri,3,0,9470327,104.98039
Super built-up Area,14-Apr,Maltepe,1+1,Park Bahçesi,1,1,7348377,110.55457
Plot Area,17-Dec,Maltepe,2+1,Denizpark Konakları,1,1,10379163,149.57383000000002
Plot Area,10-Sep,Bahçelievler,5+1,Mavi Apartman,1,1,7996620,103.12233
Built-up Area,08-Jun,Şişli,2+1,Park Bahçesi,2,0,4921762,71.53531
Built-up Area,31-Oct,Ataşehir,4+1,Denizpark Konakları,4,0,10556110,134.70935
Plot Area,14-Sep,Kadıköy,2+1,Yakamoz Sitesi,3,2,21904866,226.68332
Super built-up Area,03-May,Kadıköy,4+1,Mavi Apartman,4,2,6906614,92.903
Plot Area,08-Nov,Şişli,2+1,Park Bahçesi,3,2,15560713,213.67690000000002
Built-up Area,31-Jan,Kadıköy,2+1,Yakamoz Sitesi,3,2,8535738,103.12233
Built-up Area,18-Oct,Ataşehir,3+1,Park Bahçesi,3,0,9435813,140.28353
Plot Area,15-Nov,Bahçelievler,4+1,Kule Evleri,4,0,13827953,224.82526000000001
Super built-up Area,26-Sep,Ataşehir,3+1,Yakamoz Sitesi,2,1,9477255,121.70293000000001
Plot Area,10-Aug,Maltepe,1+1,Bosphorus View,2,0,6080663,77.10949000000001
Plot Area,05-Jul,Şişli,4+1,Bosphorus View,1,0,4341344,57.59986
Built-up Area,05-Feb,Bahçelievler,5+1,Bosphorus View,3,1,14862395,153.28995
Plot Area,29-Jan,Kadıköy,3+1,Panorama Evleri,1,2,21215976,197.88339
Plot Area,17-Dec,Bahçelievler,4+1,Kule Evleri,4,1,4644865,62.24501
Super built-up Area,24-Apr,Kadıköy,3+1,Park Bahçesi,3,0,15271408,167.2254
Plot Area,31-Jan,Maltepe,2+1,Park Bahçesi,2,0,13333956,209.03175000000002
Plot Area,07-May,Bahçelievler,3+1,Mavi Apartman,3,2,6721274,94.76106
Super built-up Area,13-May,Bahçelievler,4+1,Bosphorus View,3,0,11412237,194.16727
Built-up Area,21-Jul,Ataşehir,5+1,Panorama Evleri,4,1,11349553,139.3545
Built-up Area,13-Jul,Beşiktaş,2+1,Mavi Apartman,1,2,9305725,145.85771
Plot Area,01-Aug,Ataşehir,5+1,Panorama Evleri,2,0,13956022,207.17369
Built-up Area,25-Oct,Beşiktaş,4+1,Bosphorus View,1,1,21766555,217.39302
Built-up Area,13-Jan,Kadıköy,3+1,Bosphorus View,4,0,7734942,85.47076
Super built-up Area,03-May,Ataşehir,1+1,Mavi Apartman,2,0,9339816,165.36734
Built-up Area,14-May,Kadıköy,2+1,Park Bahçesi,2,0,7917978,89.18688
Plot Area,24-Jul,Fatih,4+1,Bosphorus View,4,0,7100157,92.903
Super built-up Area,23-Jan,Bahçelievler,3+1,Yakamoz Sitesi,4,1,5848429,81.75464
Super built-up Area,15-Jan,Kadıköy,5+1,Denizpark Konakları,2,0,14956935,210.88981
Plot Area,18-May,Kadıköy,3+1,Yakamoz Sitesi,1,0,10259231,108.69651
Super built-up Area,29-Jan,Ataşehir,5+1,Bosphorus View,1,0,7924636,105.90942
Built-up Area,05-Jan,Fatih,2+1,Panorama Evleri,3,1,18261565,196.02533
Super built-up Area,10-Feb,Beşiktaş,1+1,Park Bahçesi,1,2,19539316,191.38018
Plot Area,20-Sep,Fatih,2+1,Panorama Evleri,3,1,5698600,69.67725
Built-up Area,22-Apr,Beşiktaş,1+1,Panorama Evleri,2,2,3989288,78.96755
Built-up Area,29-Apr,Ataşehir,2+1,Bosphorus View,3,1,16631505,215.53496
Plot Area,21-May,Fatih,2+1,Panorama Evleri,1,0,12235031,153.28995
Built-up Area,02-Nov,Bahçelievler,3+1,Denizpark Konakları,3,0,16867445,224.82526000000001
Super built-up Area,18-Aug,Şişli,4+1,Yakamoz Sitesi,3,2,18763974,206.24466
Super built-up Area,24-Oct,Şişli,5+1,Mavi Apartman,3,2,7409444,117.05778000000001
Built-up Area,22-Aug,Şişli,1+1,Denizpark Konakları,1,0,10141563,158.86413000000002
Super built-up Area,23-Jun,Ataşehir,2+1,Yakamoz Sitesi,1,0,6738841,89.18688
Built-up Area,06-Jun,Şişli,2+1,Park Bahçesi,3,0,11223266,180.23182
Super built-up Area,03-Jan,Ataşehir,1+1,Panorama Evleri,2,1,13118463,159.79316
Super built-up Area,29-Dec,Maltepe,2+1,Denizpark Konakları,2,2,7468674,125.41905
Plot Area,12-May,Şişli,2+1,Kule Evleri,2,2,15912806,213.67690000000002
Built-up Area,19-May,Bahçelievler,1+1,Denizpark Konakları,1,2,12647054,221.10914
Plot Area,22-Jan,Ataşehir,3+1,Park Bahçesi,4,1,5276217,72.46434
Super built-up Area,23-Feb,Beşiktaş,2+1,Mavi Apartman,2,1,14898612,164.43831
Super built-up Area,27-Feb,Bahçelievler,3+1,Denizpark Konakları,1,0,15230327,195.0963
Plot Area,18-Jul,Bahçelievler,1+1,Yakamoz Sitesi,2,0,9521389,144.92868
Built-up Area,30-Dec,Fatih,5+1,Denizpark Konakları,3,0,25502013,232.2575
Plot Area,31-Mar,Beşiktaş,3+1,Panorama Evleri,3,2,10812194,101.26427
Super built-up Area,08-Apr,Fatih,3+1,Kule Evleri,3,1,9414012,146.78674
Built-up Area,24-Jul,Fatih,2+1,Kule Evleri,3,2,16380114,186.73503
Plot Area,07-Jan,Bahçelievler,4+1,Panorama Evleri,1,0,4666093,72.46434
Plot Area,07-Aug,Maltepe,4+1,Denizpark Konakları,2,1,12514773,183.01891
Super built-up Area,24-Jul,Maltepe,3+1,Bosphorus View,3,2,3635855,58.528890000000004
Plot Area,06-Apr,Şişli,1+1,Yakamoz Sitesi,2,2,14673514,147.71577
Plot Area,27-Apr,Beşiktaş,2+1,Park Bahçesi,1,2,6230226,56.67083
Built-up Area,12-Nov,Kadıköy,3+1,Denizpark Konakları,3,0,7074072,63.174040000000005
Super built-up Area,29-Oct,Ataşehir,3+1,Bosphorus View,1,2,10880684,113.34166
Plot Area,04-Feb,Şişli,3+1,Yakamoz Sitesi,1,1,12669934,217.39302
Super built-up Area,08-Feb,Beşiktaş,2+1,Kule Evleri,3,0,20065118,228.54138
Super built-up Area,04-Mar,Maltepe,3+1,Bosphorus View,2,1,11379483,165.36734
Built-up Area,28-Jul,Bahçelievler,5+1,Panorama Evleri,2,2,5244159,82.68367
Super built-up Area,25-May,Maltepe,2+1,Yakamoz Sitesi,2,1,8559642,117.98681
Plot Area,05-Jan,Fatih,2+1,Yakamoz Sitesi,2,1,16609341,201.59951
Built-up Area,18-Jan,Kadıköy,3+1,Panorama Evleri,1,1,8368121,172.79958
Super built-up Area,19-Apr,Bahçelievler,4+1,Yakamoz Sitesi,4,0,9173981,103.12233
Built-up Area,28-Sep,Beşiktaş,4+1,Mavi Apartman,4,2,8045396,71.53531
Super built-up Area,29-Sep,Ataşehir,4+1,Bosphorus View,4,1,8573862,112.41263000000001
Built-up Area,09-Feb,Bahçelievler,1+1,Kule Evleri,1,0,16918138,202.52854
Super built-up Area,14-Apr,Beşiktaş,5+1,Mavi Apartman,2,0,12000355,106.83845000000001
Super built-up Area,05-Mar,Kadıköy,4+1,Bosphorus View,1,0,7212218,66.89016000000001
Built-up Area,24-May,Kadıköy,3+1,Bosphorus View,3,2,7120026,108.69651
Built-up Area,16-Apr,Ataşehir,1+1,Kule Evleri,2,0,10845423,185.806
Plot Area,25-May,Beşiktaş,4+1,Bosphorus View,4,0,22717474,195.0963
Plot Area,12-Jul,Bahçelievler,3+1,Bosphorus View,2,2,10351042,157.9351
Plot Area,04-Sep,Şişli,2+1,Panorama Evleri,3,2,14813734,207.17369
Built-up Area,03-Mar,Beşiktaş,3+1,Yakamoz Sitesi,2,2,9007307,87.32882000000001
Super built-up Area,28-Nov,Fatih,3+1,Park Bahçesi,4,0,9093894,114.27069
Built-up Area,08-Dec,Ataşehir,3+1,Yakamoz Sitesi,4,2,9108750,109.62554
Plot Area,20-Nov,Kadıköy,3+1,Mavi Apartman,1,2,17528406,213.67690000000002
Plot Area,04-Aug,Bahçelievler,1+1,Park Bahçesi,1,0,8441515,138.42547
Plot Area,26-Jun,Bahçelievler,5+1,Yakamoz Sitesi,4,1,16570914,208.10272
Plot Area,17-Nov,Beşiktaş,1+1,Panorama Evleri,2,1,7285872,73.39337
Built-up Area,11-Oct,Bahçelievler,3+1,Denizpark Konakları,4,0,13953897,190.45115
Plot Area,07-Nov,Bahçelievler,3+1,Kule Evleri,4,1,18397461,223.89623
Built-up Area,11-May,Kadıköy,1+1,Park Bahçesi,2,1,11724820,184.87697
Built-up Area,04-Jan,Fatih,3+1,Bosphorus View,1,1,13808104,164.43831
Built-up Area,18-Apr,Şişli,3+1,Denizpark Konakları,4,2,8254709,84.54173
Super built-up Area,25-Mar,Beşiktaş,1+1,Yakamoz Sitesi,1,1,12289033,130.0642
Built-up Area,06-Sep,Şişli,3+1,Bosphorus View,1,2,13896546,144.92868
Built-up Area,09-Jul,Şişli,2+1,Yakamoz Sitesi,2,1,5428978,78.03852
Built-up Area,31-Jan,Maltepe,1+1,Park Bahçesi,2,2,7715806,124.49002
Super built-up Area,22-Mar,Bahçelievler,3+1,Mavi Apartman,4,0,6331955,128.20614
Super built-up Area,23-Jan,Kadıköy,5+1,Park Bahçesi,3,0,14344343,206.24466
Super built-up Area,16-Mar,Maltepe,4+1,Panorama Evleri,1,0,13870905,222.9672
Plot Area,24-Apr,Kadıköy,1+1,Yakamoz Sitesi,2,0,8140911,99.40621
Super built-up Area,10-Mar,Kadıköy,3+1,Bosphorus View,1,1,7507655,92.903
Plot Area,18-Feb,Beşiktaş,2+1,Panorama Evleri,1,0,17101722,217.39302
Super built-up Area,07-Nov,Maltepe,3+1,Panorama Evleri,4,0,4510480,60.38695
Built-up Area,17-Nov,Beşiktaş,4+1,Park Bahçesi,4,1,17609494,212.74787
Built-up Area,09-Jan,Maltepe,1+1,Mavi Apartman,1,0,16203968,208.10272
Plot Area,22-Dec,Beşiktaş,4+1,Park Bahçesi,4,1,23183283,224.82526000000001
Plot Area,01-Oct,Kadıköy,5+1,Park Bahçesi,3,0,16988006,226.68332
Super built-up Area,09-Aug,Bahçelievler,1+1,Bosphorus View,1,2,13157471,209.03175000000002
Super built-up Area,27-Jun,Bahçelievler,5+1,Kule Evleri,1,2,6522961,115.19972
Super built-up Area,01-Dec,Bahçelievler,3+1,Yakamoz Sitesi,1,1,8760403,149.57383000000002
Built-up Area,15-Jun,Şişli,1+1,Bosphorus View,2,0,8669023,110.55457
Built-up Area,11-Mar,Şişli,2+1,Denizpark Konakları,3,2,16205395,193.23824000000002
Built-up Area,05-Dec,Fatih,4+1,Kule Evleri,4,2,11983509,131.92226
Super built-up Area,13-May,Kadıköy,4+1,Yakamoz Sitesi,4,2,20375043,214.60593
Built-up Area,16-Feb,Bahçelievler,4+1,Yakamoz Sitesi,3,2,7444046,133.78032000000002
Plot Area,10-Nov,Fatih,2+1,Mavi Apartman,1,1,5127825,57.59986
Built-up Area,25-Apr,Beşiktaş,3+1,Mavi Apartman,4,2,7690469,69.67725
Plot Area,03-Nov,Maltepe,4+1,Bosphorus View,4,1,12174947,207.17369
Built-up Area,16-May,Kadıköy,4+1,Denizpark Konakları,1,2,3907874,71.53531
Built-up Area,27-Dec,Fatih,5+1,Bosphorus View,1,1,14930389,164.43831
Plot Area,14-Sep,Bahçelievler,2+1,Yakamoz Sitesi,3,0,6874944,84.54173
Plot Area,08-Mar,Beşiktaş,2+1,Mavi Apartman,1,0,18422187,203.45757
Super built-up Area,24-Dec,Beşiktaş,3+1,Denizpark Konakları,4,1,12204730,135.63838
Plot Area,09-Aug,Şişli,4+1,Bosphorus View,3,2,16162195,159.79316
Plot Area,01-Aug,Beşiktaş,1+1,Denizpark Konakları,1,2,21267645,230.39944
Built-up Area,15-Nov,Bahçelievler,1+1,Park Bahçesi,2,1,5804189,102.19330000000001
Plot Area,17-Dec,Maltepe,5+1,Bosphorus View,2,0,10228849,163.50928
Super built-up Area,31-Dec,Beşiktaş,5+1,Park Bahçesi,2,2,11134921,104.98039
Super built-up Area,08-Nov,Şişli,1+1,Mavi Apartman,1,2,8544769,104.05136
Super built-up Area,01-Nov,Fatih,5+1,Kule Evleri,1,1,21009204,224.82526000000001
Plot Area,30-Jul,Ataşehir,5+1,Denizpark Konakları,2,2,10239358,124.49002
Super built-up Area,25-Nov,Beşiktaş,3+1,Mavi Apartman,4,2,21120544,230.39944
Super built-up Area,19-Feb,Ataşehir,5+1,Mavi Apartman,1,1,15894943,212.74787
Built-up Area,02-Oct,Fatih,3+1,Denizpark Konakları,4,0,18193446,185.806
Plot Area,16-Dec,Ataşehir,1+1,Kule Evleri,1,2,12025268,170.94152
Super built-up Area,02-Apr,Beşiktaş,2+1,Denizpark Konakları,2,0,8459215,77.10949000000001
Built-up Area,25-Feb,Ataşehir,3+1,Panorama Evleri,1,2,10887722,187.66406
Built-up Area,30-Jan,Bahçelievler,1+1,Yakamoz Sitesi,1,0,4355839,59.45792
Plot Area,22-May,Şişli,3+1,Mavi Apartman,2,2,14844345,206.24466
Plot Area,17-Dec,Maltepe,3+1,Denizpark Konakları,3,1,9870305,183.01891
Plot Area,11-Mar,Kadıköy,4+1,Mavi Apartman,2,2,8759407,88.25785
Built-up Area,15-Nov,Ataşehir,5+1,Kule Evleri,4,2,11839911,131.92226
Built-up Area,09-Mar,Şişli,2+1,Bosphorus View,1,0,16806050,229.47041000000002
Built-up Area,01-May,Beşiktaş,2+1,Park Bahçesi,3,2,6700914,61.31598
Plot Area,02-Nov,Maltepe,1+1,Denizpark Konakları,2,0,13733450,218.32205000000002
Built-up Area,28-Jun,Şişli,2+1,Bosphorus View,2,1,13405750,160.72219
Plot Area,06-May,Ataşehir,2+1,Denizpark Konakları,1,1,8563442,99.40621
Super built-up Area,22-Jun,Kadıköy,2+1,Panorama Evleri,2,1,8739437,114.27069
Super built-up Area,29-Mar,Maltepe,1+1,Yakamoz Sitesi,1,2,5547695,78.03852
Super built-up Area,27-Oct,Fatih,4+1,Panorama Evleri,3,0,9608771,124.49002
Plot Area,13-Jan,Maltepe,2+1,Kule Evleri,1,0,5167556,92.903
Super built-up Area,14-Jun,Fatih,5+1,Park Bahçesi,1,1,10181371,98.47718
Plot Area,15-Nov,Fatih,5+1,Yakamoz Sitesi,4,2,21663689,204.38660000000002
Plot Area,07-Dec,Kadıköy,3+1,Mavi Apartman,1,0,6276603,172.79958
Super built-up Area,24-Feb,Şişli,4+1,Mavi Apartman,3,2,9680910,96.61912000000001
Built-up Area,23-Sep,Beşiktaş,4+1,Yakamoz Sitesi,4,0,10665628,118.91584
Super built-up Area,10-Sep,Maltepe,2+1,Mavi Apartman,1,0,11051321,176.5157
Built-up Area,05-Aug,Bahçelievler,1+1,Panorama Evleri,1,0,4287298,65.96113
Built-up Area,01-Jun,Şişli,4+1,Park Bahçesi,4,2,6360452,90.11591
Built-up Area,22-Jun,Fatih,2+1,Bosphorus View,1,0,16093642,197.88339
Plot Area,21-Jul,Maltepe,4+1,Yakamoz Sitesi,1,2,14124955,199.74145000000001
Built-up Area,27-Nov,Maltepe,4+1,Bosphorus View,1,2,16410936,176.5157
Plot Area,07-Mar,Fatih,2+1,Denizpark Konakları,3,1,15532643,182.08988
Built-up Area,08-Dec,Ataşehir,1+1,Bosphorus View,2,0,13511011,170.94152
Built-up Area,11-Dec,Bahçelievler,5+1,Park Bahçesi,1,1,7262755,106.83845000000001
Super built-up Area,29-Mar,Kadıköy,4+1,Mavi Apartman,2,2,6640982,66.89016000000001
Super built-up Area,18-Oct,Şişli,4+1,Kule Evleri,1,1,12121911,105.90942
Built-up Area,13-May,Kadıköy,4+1,Panorama Evleri,3,0,8167877,102.19330000000001
Plot Area,07-Jan,Beşiktaş,2+1,Yakamoz Sitesi,2,2,12003563,142.14159
Built-up Area,26-Jun,Fatih,2+1,Mavi Apartman,2,0,17632528,187.66406
Built-up Area,29-Mar,Şişli,4+1,Kule Evleri,1,1,14109492,188.59309000000002
Plot Area,22-Mar,Fatih,4+1,Bosphorus View,1,1,16579129,171.87055
Super built-up Area,03-Dec,Ataşehir,3+1,Denizpark Konakları,2,0,4566761,64.10307
Super built-up Area,03-Mar,Kadıköy,1+1,Bosphorus View,1,2,6938519,93.83203
Built-up Area,08-Jan,Fatih,1+1,Bosphorus View,1,1,20159278,195.0963
Super built-up Area,24-Jul,Fatih,2+1,Yakamoz Sitesi,2,0,6030039,65.96113
Plot Area,28-Jan,Maltepe,1+1,Bosphorus View,1,2,11461005,140.28353
Plot Area,25-Feb,Bahçelievler,3+1,Kule Evleri,3,0,6188805,80.82561
Super built-up Area,14-Jun,Ataşehir,5+1,Mavi Apartman,1,1,11000143,141.21256
Plot Area,04-Oct,Ataşehir,3+1,Kule Evleri,3,1,4312817,57.59986
Plot Area,02-Jun,Maltepe,2+1,Bosphorus View,2,0,15453203,194.16727
Built-up Area,26-Jul,Beşiktaş,2+1,Bosphorus View,2,0,15175106,182.08988
Plot Area,20-Jul,Bahçelievler,2+1,Panorama Evleri,2,0,7560863,104.05136
Super built-up Area,06-Dec,Ataşehir,4+1,Park Bahçesi,4,0,11961102,128.20614
Plot Area,01-Oct,Kadıköy,4+1,Kule Evleri,4,2,15081812,196.02533
Plot Area,11-Jul,Maltepe,4+1,Park Bahçesi,4,0,11558695,230.39944
Super built-up Area,11-Jul,Maltepe,4+1,Park Bahçesi,1,0,12180281,208.10272
Plot Area,06-Dec,Beşiktaş,2+1,Mavi Apartman,2,2,7229919,83.6127
Plot Area,14-Apr,Şişli,1+1,Park Bahçesi,2,2,3793344,56.67083
Super built-up Area,23-Oct,Bahçelievler,1+1,Yakamoz Sitesi,2,1,5383534,111.4836
Super built-up Area,08-Aug,Maltepe,5+1,Kule Evleri,3,2,9615294,98.47718
Built-up Area,18-Feb,Bahçelievler,5+1,Bosphorus View,3,1,8193717,98.47718
Built-up Area,03-Feb,Bahçelievler,5+1,Denizpark Konakları,4,1,12740208,152.36092
Plot Area,05-Feb,Fatih,4+1,Mavi Apartman,1,0,10629811,130.99323
Plot Area,18-Sep,Maltepe,2+1,Yakamoz Sitesi,2,1,9845398,157.00607
Built-up Area,27-Jun,Kadıköy,3+1,Bosphorus View,3,1,12684396,157.9351
Plot Area,01-Feb,Kadıköy,1+1,Park Bahçesi,2,2,15442354,167.2254
Built-up Area,02-Dec,Şişli,1+1,Panorama Evleri,1,1,9189248,104.05136
Plot Area,18-Sep,Şişli,5+1,Kule Evleri,1,2,19906900,218.32205000000002
Plot Area,18-Aug,Ataşehir,3+1,Bosphorus View,2,0,14469138,175.58667
Super built-up Area,10-Apr,Bahçelievler,2+1,Bosphorus View,3,0,3845805,70.60628
Plot Area,19-Nov,Fatih,2+1,Panorama Evleri,3,1,17738146,194.16727
Plot Area,04-Oct,Şişli,4+1,Panorama Evleri,2,2,5579534,68.74822
Plot Area,17-Mar,Beşiktaş,4+1,Kule Evleri,2,0,21042722,196.95436
Super built-up Area,19-Apr,Bahçelievler,3+1,Panorama Evleri,3,0,10578089,164.43831
Super built-up Area,16-Apr,Beşiktaş,3+1,Denizpark Konakları,1,0,12561298,122.63196
Built-up Area,18-Nov,Maltepe,1+1,Panorama Evleri,2,1,9032455,134.70935
Plot Area,28-Apr,Maltepe,5+1,Mavi Apartman,1,1,7435157,84.54173
Built-up Area,06-May,Bahçelievler,1+1,Yakamoz Sitesi,2,0,12929020,161.65122
Super built-up Area,31-Oct,Maltepe,2+1,Yakamoz Sitesi,1,1,9509066,182.08988
Built-up Area,11-Jan,Beşiktaş,3+1,Yakamoz Sitesi,2,1,15681550,156.07704
Plot Area,24-Feb,Maltepe,1+1,Denizpark Konakları,1,1,15988232,228.54138
Built-up Area,17-Feb,Şişli,3+1,Park Bahçesi,2,1,4490517,59.45792
Built-up Area,18-Sep,Beşiktaş,3+1,Denizpark Konakları,4,2,18312720,198.81242
Built-up Area,20-Dec,Beşiktaş,1+1,Mavi Apartman,1,1,5870096,75.25143
Super built-up Area,22-Jun,Kadıköy,1+1,Denizpark Konakları,2,0,4723447,57.59986
Built-up Area,31-Oct,Şişli,4+1,Yakamoz Sitesi,3,2,10190885,168.15443
Super built-up Area,08-Mar,Ataşehir,5+1,Panorama Evleri,2,0,12298165,157.00607
Plot Area,31-Oct,Bahçelievler,1+1,Denizpark Konakları,1,0,7728787,131.92226
Super built-up Area,13-Jul,Şişli,2+1,Yakamoz Sitesi,3,0,12139747,149.57383000000002
Built-up Area,03-Apr,Bahçelievler,3+1,Kule Evleri,3,2,7618628,78.96755
Plot Area,18-Feb,Fatih,4+1,Mavi Apartman,2,0,18556813,207.17369
Plot Area,18-Aug,Fatih,2+1,Panorama Evleri,3,2,13240719,134.70935
Plot Area,05-Apr,Bahçelievler,2+1,Denizpark Konakları,1,0,11956634,168.15443
Plot Area,28-Oct,Fatih,2+1,Mavi Apartman,1,1,6560716,71.53531
Built-up Area,24-Apr,Beşiktaş,5+1,Yakamoz Sitesi,2,0,17393488,158.86413000000002
Plot Area,03-Apr,Bahçelievler,1+1,Denizpark Konakları,2,1,14978487,222.9672
Built-up Area,19-Jun,Maltepe,3+1,Bosphorus View,4,1,6056019,89.18688
Plot Area,23-Jul,Fatih,1+1,Bosphorus View,1,2,11929788,149.57383000000002
Super built-up Area,04-Nov,Şişli,3+1,Yakamoz Sitesi,2,1,11586552,205.31563
Super built-up Area,04-May,Şişli,4+1,Mavi Apartman,3,0,20079809,231.32847
Super built-up Area,25-Sep,Ataşehir,2+1,Park Bahçesi,1,1,15751478,202.52854
Super built-up Area,11-May,Kadıköy,4+1,Bosphorus View,4,1,14263403,165.36734
Super built-up Area,09-Oct,Fatih,1+1,Mavi Apartman,1,2,6039349,81.75464
Built-up Area,23-Dec,Maltepe,3+1,Panorama Evleri,3,1,15726207,196.95436
Built-up Area,15-Jun,Maltepe,5+1,Yakamoz Sitesi,2,2,14777340,192.30921
Plot Area,04-Jan,Bahçelievler,3+1,Park Bahçesi,2,0,7706018,131.92226
Built-up Area,13-Sep,Kadıköy,2+1,Panorama Evleri,2,2,12031047,152.36092
Super built-up Area,30-Oct,Şişli,3+1,Kule Evleri,1,2,9314234,83.6127
Built-up Area,09-Aug,Şişli,3+1,Kule Evleri,4,1,10934497,126.34808000000001
Plot Area,27-Mar,Beşiktaş,3+1,Kule Evleri,4,2,16991104,186.73503
Plot Area,10-Dec,Ataşehir,4+1,Park Bahçesi,4,0,7410680,74.3224
Plot Area,06-Oct,Kadıköy,2+1,Bosphorus View,3,2,11317752,101.26427
Super built-up Area,25-May,Şişli,5+1,Yakamoz Sitesi,1,1,7272469,72.46434
Plot Area,13-May,Beşiktaş,1+1,Kule Evleri,1,1,11592774,161.65122
Super built-up Area,23-May,Şişli,3+1,Kule Evleri,1,2,12237194,161.65122
Plot Area,11-Sep,Ataşehir,1+1,Denizpark Konakları,2,2,4615304,55.7418
Super built-up Area,18-Aug,Şişli,4+1,Kule Evleri,4,1,7022908,78.03852
Built-up Area,01-Sep,Maltepe,3+1,Mavi Apartman,3,2,7374289,102.19330000000001
Super built-up Area,18-Oct,Bahçelievler,2+1,Mavi Apartman,2,2,6278417,84.54173
Plot Area,27-Nov,Şişli,2+1,Yakamoz Sitesi,3,2,8271963,114.27069
Built-up Area,07-Aug,Ataşehir,3+1,Panorama Evleri,2,1,22449466,232.2575
Built-up Area,23-Jul,Maltepe,4+1,Kule Evleri,1,2,12365471,174.65764000000001
Plot Area,10-Nov,Kadıköy,1+1,Park Bahçesi,2,1,11446435,143.07062
Super built-up Area,29-Jul,Beşiktaş,3+1,Yakamoz Sitesi,4,1,8844587,96.61912000000001
Built-up Area,14-Aug,Fatih,3+1,Park Bahçesi,1,2,7181758,71.53531
Plot Area,10-Jan,Şişli,3+1,Denizpark Konakları,2,0,13192892,169.08346
Plot Area,22-Jun,Ataşehir,5+1,Park Bahçesi,1,2,7586456,103.12233
Plot Area,04-Aug,Ataşehir,3+1,Panorama Evleri,3,2,16771139,224.82526000000001
Super built-up Area,12-Nov,Kadıköy,2+1,Mavi Apartman,2,0,16945576,219.25108
Plot Area,16-Dec,Beşiktaş,5+1,Park Bahçesi,1,1,18485885,223.89623
Plot Area,06-Jul,Şişli,3+1,Mavi Apartman,2,0,10233530,124.49002
Built-up Area,28-Feb,Fatih,1+1,Panorama Evleri,1,1,10468605,119.84487
Built-up Area,30-Jun,Şişli,1+1,Panorama Evleri,2,1,8995644,96.61912000000001
Built-up Area,06-Dec,Beşiktaş,5+1,Yakamoz Sitesi,4,0,8769904,79.89658
Plot Area,03-Dec,Bahçelievler,4+1,Denizpark Konakları,1,1,8188202,97.54815
Built-up Area,24-Oct,Şişli,5+1,Kule Evleri,4,1,7161895,85.47076
Plot Area,23-Aug,Maltepe,3+1,Kule Evleri,3,1,4593934,108.69651
Super built-up Area,31-May,Şişli,2+1,Panorama Evleri,1,2,10232965,98.47718
Super built-up Area,22-May,Bahçelievler,3+1,Mavi Apartman,2,0,16471657,231.32847
Built-up Area,19-Jun,Ataşehir,1+1,Park Bahçesi,1,2,11247906,142.14159
Plot Area,22-Jul,Maltepe,2+1,Panorama Evleri,3,2,8914849,112.41263000000001
Built-up Area,25-Oct,Şişli,5+1,Yakamoz Sitesi,2,1,5535489,58.528890000000004
